,year,price,production
0,1961,10.92863284,14030251
1,1962,11.17612856,19936511
2,1963,11.2730976,21227395
3,1964,11.50582549,22506950
4,1965,14.54907809,25276551
5,1966,15.59088606,26081217
6,1967,14.77524373,27794218
7,1968,16.05948155,29088278
8,1969,17.86244933,27691569
9,1970,15.62958779,29679420
10,1971,15.76864181,31058224
11,1972,25.70589299,37679195
12,1973,26.97929079,48366986
13,1974,38.03433525,49829992
14,1975,41.0942205,52200482
15,1976,44.09961084,62508904
16,1977,37.73753034,57819210
17,1978,34.7461851,68822480
18,1979,39.50213797,76132606
19,1980,41.98173046,80409210
20,1981,46.83169282,78878239
21,1982,42.61672195,69708418
22,1983,49.53874948,69199096
23,1984,46.81327662,69673191
24,1985,56.76731211,76292812
25,1986,47.78087765,63325159
26,1987,48.16735187,68619200
27,1988,45.24343557,70420427
28,1989,55.65824016,80942694
29,1990,46.78471097,75444032
30,1991,43.18794826,73947453
31,1992,51.99916682,84182290
32,1993,51.96280004,78919886
33,1994,60.7348545,73891529
34,1995,56.07300164,78357663
35,1996,69.41503211,71939907
36,1997,61.95056168,79700854
37,1998,55.03577607,80778334
38,1999,56.01705055,83075722
39,2000,56.8452861,92820245
40,2001,54.12603346,89836112
41,2002,63.95478362,99148557
42,2003,69.80236486,107108942
43,2004,71.15754552,85001646
44,2005,93.00137951,99121146
45,2006,108.9313475,98529883
46,2007,104.4480298,114942160
47,2008,121.704749,102352071
48,2009,114.8310839,100452207
49,2010,114.8907414,108859003
50,2011,134.7408693,110080330
51,2012,153.2612529,120707619
52,2013,158.4748136,124299733
53,2014,152.6062022,141779115
54,2015,132.9826032,146976666
55,2016,124.2364217,154030778
56,2017,110.2884236,161623243
57,2018,130.9362927,173692136
58,2019,130.53434,184735774
59,2020,106.6979317,192893862
