year,price
1866,11.62233
1867,14.46412
1868,12.00682
1869,14.1085
1870,10.67008
1871,10.03632
1872,8.28429
1873,10.44729
1874,14.68531
1875,9.88421
1876,8.77952
1877,8.68224
1878,8.40405
1879,10.11556
1880,10.4637
1881,16.84924
1882,12.90523
1883,11.60786
1884,10.05469
1885,9.27682
1886,10.28517
1887,12.50354
1888,9.53611
1889,7.92275
1890,14.28976
1891,11.46638
1892,11.32233
1893,10.40041
1894,13.48941
1895,7.8372
1896,6.6554
1897,8.086
1898,8.8635
1899,9.2678
1900,10.885
1901,18.66
1902,11.9899
1903,12.07139
1904,12.56116
1905,11.69686
1906,11.26471
1907,14.0289
1908,18.733
1909,16.60032
1910,13.20025
1911,18.03571
1912,13.70502
1913,16.92312
1914,16.93941
1915,16.22292
1916,27.346
1917,29.8989
1918,26.071
1919,21.9744
1920,7.0416
1921,6.148
1922,10.24432
1923,11.3848
1924,14.841
1925,9.5157
1926,10.0529
1927,11.56152
1928,11.6109
1929,11.24608
1930,8.096
1931,4.65402
1932,5.1392
1933,9.63794
1934,15.29414
1935,11.69832
1936,18.7872
1937,8.7465
1938,8.31537
1939,9.74516
1940,10.88411
1941,13.1376
1942,14.33082
1943,16.0812
1944,14.9041
1945,17.3922
1946,21.1599
1947,25.2936
1948,13.5936
1949,13.0076
1950,16.5528
1951,16.5502
1952,14.8656
1953,14.3116
1954,13.728
1955,13.0545
1956,12.3324
1957,10.2342
1958,10.0016
1959,9.345
1960,8.75
1961,9.526
1962,9.576
1963,9.3906
1964,9.7695
1965,9.5352
1966,9.9076
1967,8.0031
1968,8.0784
1969,8.2244
1970,8.8977
1971,6.912
1972,9.734
1973,14.994
1974,16.0362
1975,12.319
1976,9.8255
1977,8.6456
1978,9
1979,9.0972
1980,9.8276
1981,7.175
1982,6.8595
1983,8.346
1984,6.575
1985,5.3743
1986,3.555
1987,4.4232
1988,5.588
1989,4.9088
1990,4.56
1991,4.503
1992,3.8295
1993,4.475
1994,3.955
1995,5.508
1996,4.4715
1997,3.9123
1998,3.0846
1999,2.821
2000,2.7935
2001,2.8565
2002,3.3408
2003,3.4122
2004,2.8016
2005,2.66
2006,3.8608
2007,5.208
2008,4.8314
2009,4.2955
2010,6.1124
2011,7.0908
2012,7.7168
2013,4.9506
2014,3.942
2015,3.9349
2016,3.5952
2017,3.528
2018,3.7183
2019,3.5956
2020,4.3
