,year,price,value
0,1961,5.086036772,4516963.0
1,1962,6.487731539,5275711.0
2,1963,6.633677536,5564350.0
3,1964,7.2304074400000005,6790687.0
4,1965,7.518283781,7559009.0
5,1966,8.326525762,8079168.0
6,1967,7.306969326,8711332.0
7,1968,8.284844907,9329319.0
8,1969,6.540541649,9823544.0
9,1970,9.147105266,13040952.0
10,1971,10.408479869,12801598.0
11,1972,12.741133714,14166366.0
12,1973,20.428759329,15951731.0
13,1974,21.089766715,17608157.0
14,1975,28.010687984,16836398.0
15,1976,24.942626661000002,19975243.0
16,1977,27.186211941,20160231.0
17,1978,30.981819316,24178335.0
18,1979,31.275524064,25797350.0
19,1980,34.443549252,27019240.0
20,1981,44.105198853,26359298.0
21,1982,28.840640186999998,29084959.0
22,1983,42.081265142,26949195.0
23,1984,38.569336227,26632937.0
24,1985,33.110386893,27294540.0
25,1986,39.271531105,29052542.0
26,1987,42.866673851,30921724.0
27,1988,31.594221326,27561191.0
28,1989,58.525316215,24876794.0
29,1990,44.682131305,26831080.0
30,1991,46.307177126999996,28311658.0
31,1992,31.537420248,29799085.0
32,1993,52.309919533,29179942.0
33,1994,39.465834034000004,30952764.0
34,1995,41.06508359,32320004.0
35,1996,55.164105986,35143896.0
36,1997,54.005114071,39716249.0
37,1998,58.973867524,38184579.0
38,1999,49.569653242,40511565.0
39,2000,52.38195183,47608904.0
40,2001,49.506191444,57224173.0
41,2002,56.867433803,54916426.0
42,2003,61.434933963,65316334.0
43,2004,74.391562424,57991167.0
44,2005,68.230244757,65791327.0
45,2006,62.47566147,68295337.0
46,2007,77.373774181,74889682.0
47,2008,114.27032764,79496137.0
48,2009,96.700026271,81899391.0
49,2010,108.838824716,97491177.0
50,2011,122.17320586,91195716.0
51,2012,133.038189749,97242252.0
52,2013,142.809212291,106389922.0
53,2014,192.865540991,118797108.0
54,2015,146.100937297,131235935.0
55,2016,118.555665397,136518109.0
56,2017,359.535226116,151906934.0
57,2018,132.678543815,152725578.0
58,2019,125.03175073999999,155450499.0
59,2020,156.739068023,173447606.0
