,year,price,value
0,1961,10.928632841,7452500.0
1,1962,11.17612856,10828400.0
2,1963,11.273097602,11145500.0
3,1964,11.505825491,12182600.0
4,1965,14.549078089,15158820.0
5,1966,15.590886064,15553020.0
6,1967,14.775243726,12936316.0
7,1968,16.059481552,14958927.0
8,1969,17.862449325,13960993.0
9,1970,15.629587786,14408719.0
10,1971,15.76864181,12884201.0
11,1972,25.705892993,22386544.0
12,1973,26.979290792,33203536.0
13,1974,38.034335247,29868608.0
14,1975,41.094220499,33502720.0
15,1976,44.099610836,44361584.0
16,1977,37.737530342,40481216.0
17,1978,34.746185103,50142304.0
18,1979,39.502137969,59242464.0
19,1980,41.981730461,63152304.0
20,1981,46.831692817,54855952.0
21,1982,42.616721945,48942432.0
22,1983,49.538749478,47629152.0
23,1984,46.813276615,49085200.0
24,1985,56.767312105,44016352.0
25,1986,47.780877646,27085536.0
26,1987,48.167351866,40905552.0
27,1988,45.243435565,46568064.0
28,1989,55.658240157,56513328.0
29,1990,46.78471097,52172320.0
30,1991,43.18794826,44558240.0
31,1992,51.999166822,43235840.0
32,1993,51.962800043,40364752.0
33,1994,60.734854496000004,35876712.0
34,1995,56.073001641,60240000.0
35,1996,69.415032112,52410000.0
36,1997,61.950561684,41791696.0
37,1998,55.035776066,42125446.0
38,1999,56.017050549,51975145.0
39,2000,56.845286097,47970790.0
40,2001,54.126033457,47943762.0
41,2002,63.954783617000004,47685821.0
42,2003,69.802364856,43411753.0
43,2004,71.157545524,48741188.0
44,2005,93.001379505,45369241.0
45,2006,108.93134752,57884062.0
46,2007,104.448029821,57014420.0
47,2008,121.704748974,54094397.0
48,2009,114.83108393,47813400.0
49,2010,114.890741393,50906268.0
50,2011,134.74086933499999,45888272.0
51,2012,153.26125286,31529900.0
52,2013,158.474813573,24178452.0
53,2014,152.606202242,49703263.0
54,2015,132.982603178,44658219.0
55,2016,124.23642172699999,55992667.0
56,2017,110.28842357399999,53038638.0
57,2018,130.936292698,70066295.0
58,2019,130.534340003,41562313.0
59,2020,106.697931674,51838933.0
