,year,production,price
0,1961,7452500,9.526
1,1962,10828400,9.576
2,1963,11145500,9.3906
3,1964,12182600,9.7695
4,1965,15158820,9.5352
5,1966,15553020,9.9076
6,1967,12936316,8.0031
7,1968,14958927,8.0784
8,1969,13960993,8.2244
9,1970,14408719,8.8977
10,1971,12884201,6.912
11,1972,22386544,9.734
12,1973,33203536,14.994
13,1974,29868608,16.0362
14,1975,33502720,12.319
15,1976,44361584,9.8255
16,1977,40481216,8.6456
17,1978,50142304,9
18,1979,59242464,9.0972
19,1980,63152304,9.8276
20,1981,54855952,7.175
21,1982,48942432,6.8595
22,1983,47629152,8.346
23,1984,49085200,6.575
24,1985,44016352,5.3743
25,1986,27085536,3.555
26,1987,40905552,4.4232
27,1988,46568064,5.588
28,1989,56513328,4.9088
29,1990,52172320,4.56
30,1991,44558240,4.503
31,1992,43235840,3.8295
32,1993,40364752,4.475
33,1994,35876712,3.955
34,1995,60240000,5.508
35,1996,52410000,4.4715
36,1997,41791696,3.9123
37,1998,42125446,3.0846
38,1999,51975145,2.821
39,2000,47970790,2.7935
40,2001,47943762,2.8565
41,2002,47685821,3.3408
42,2003,43411753,3.4122
43,2004,48741188,2.8016
44,2005,45369241,2.66
45,2006,57884062,3.8608
46,2007,57014420,5.208
47,2008,54094397,4.8314
48,2009,47813400,4.2955
49,2010,50906268,6.1124
50,2011,45888272,7.0908
51,2012,31529900,7.7168
52,2013,24178452,4.9506
53,2014,49703263,3.942
54,2015,44658219,3.9349
55,2016,55992667,3.5952
56,2017,53038638,3.528
57,2018,70066295,3.7183
58,2019,41562313,3.5956
59,2020,51838933,4.3
