,year,price,value
0,1961,5.086036772,3634190.0
1,1962,6.487731539,4366870.0
2,1963,6.633677536,4754640.0
3,1964,7.2304074400000005,5701945.0
4,1965,7.518283781,6196001.0
5,1966,8.326525762,6687608.0
6,1967,7.306969326,7169188.0
7,1968,8.284844907,8012028.0
8,1969,6.540541649,8473011.0
9,1970,9.147105266,11839087.0
10,1971,10.408479869,11521030.0
11,1972,12.741133714,11992850.0
12,1973,20.428759329,13222176.0
13,1974,21.089766715,13940058.0
14,1975,28.010687984,12496454.0
15,1976,24.942626661000002,15332382.0
16,1977,27.186211941,16196069.0
17,1978,30.981819316,20709888.0
18,1979,31.275524064,20904576.0
19,1980,34.443549252,21786448.0
20,1981,44.105198853,21859728.0
21,1982,28.840640186999998,25519968.0
22,1983,42.081265142,22728176.0
23,1984,38.569336227,19535456.0
24,1985,33.110386893,17565760.0
25,1986,39.271531105,21379536.0
26,1987,42.866673851,21328320.0
27,1988,31.594221326,17901360.0
28,1989,58.525316215,15189673.0
29,1990,44.682131305,15466663.0
30,1991,46.307177126999996,17610576.0
31,1992,31.537420248,19880208.0
32,1993,52.309919533,19511504.0
33,1994,39.465834034000004,18126336.0
34,1995,41.06508359,22840000.0
35,1996,55.164105986,25960000.0
36,1997,54.005114071,26367925.0
37,1998,58.973867524,20391202.0
38,1999,49.569653242,23150306.0
39,2000,52.38195183,27192220.0
40,2001,49.506191444,28933830.0
41,2002,56.867433803,27432930.0
42,2003,61.434933963,31019677.0
43,2004,74.391562424,25602609.0
44,2005,68.230244757,25657941.0
45,2006,62.47566147,28120033.0
46,2007,77.373774181,29840182.0
47,2008,114.27032764,33995589.0
48,2009,96.700026271,40505680.0
49,2010,108.838824716,42350556.0
50,2011,122.17320586,34310515.0
51,2012,133.038189749,43858749.0
52,2013,142.809212291,39175583.0
53,2014,192.865540991,49608142.0
54,2015,146.100937297,48216370.0
55,2016,118.555665397,57769822.0
56,2017,359.535226116,55380025.0
57,2018,132.678543815,46415333.0
58,2019,125.03175073999999,52388397.0
59,2020,156.739068023,64571021.0
