,year,price,value
0,1961,9.698709744,17168496.0
1,1962,9.170538492,14136700.0
2,1963,10.126192712,17470096.0
3,1964,10.290539863,20574672.0
4,1965,10.419171104,17700576.0
5,1966,11.592863401,22483552.0
6,1967,12.406595531999999,17474592.0
7,1968,10.792608422,16118222.0
8,1969,12.483125973,12102230.0
9,1970,10.891706302,17444336.0
10,1971,11.118053321,16215069.0
11,1972,11.846595652,21308080.0
12,1973,18.157747745,37398000.0
13,1974,28.294541532,25132960.0
14,1975,27.545629833,30966720.0
15,1976,25.856816176,26536640.0
16,1977,23.037508412,23825952.0
17,1978,23.978200523,34096480.0
18,1979,28.8048187,33379040.0
19,1980,33.972645134,35756128.0
20,1981,34.544873287,43908640.0
21,1982,31.770945353,40521632.0
22,1983,30.617508522,38491184.0
23,1984,33.154229264,42242960.0
24,1985,30.549974328,24809616.0
25,1986,25.201579394,24555808.0
26,1987,24.36470324,30638016.0
27,1988,27.105806837,40499664.0
28,1989,37.807841402,36568800.0
29,1990,30.420386896,27557024.0
30,1991,25.751376138,31088576.0
31,1992,33.52077982,33876960.0
32,1993,32.147454757,35665888.0
33,1994,29.428928046,30570900.0
34,1995,39.815443073,32420000.0
35,1996,43.615961709,31150000.0
36,1997,39.926345462,25768091.0
37,1998,34.379903697,27003721.0
38,1999,31.425859897,28445452.0
39,2000,32.694537343,27830150.0
40,2001,34.882489034,25782618.0
41,2002,30.047510767,24245829.0
42,2003,35.092898304,25429428.0
43,2004,37.241250409,31581449.0
44,2005,36.497868095,27178553.0
45,2006,41.537535808,23377178.0
46,2007,54.306770872,32946902.0
47,2008,79.344366367,30093351.0
48,2009,54.488802982,21942248.0
49,2010,56.427390555,27629318.0
50,2011,74.667298146,32789893.0
51,2012,64.551573668,25769493.0
52,2013,70.132354435,33198288.0
53,2014,76.00298661,25645749.0
54,2015,66.402853894,21268696.0
55,2016,49.789066147999996,24041586.0
56,2017,75.345914552,27299214.0
57,2018,185.283533818,22499006.0
58,2019,56.178461809,27068607.0
59,2020,54.465626914,26131626.0
