,area,percentDiffFromAvg_y,year,percentPrevYearExp,pop,adj_r2,f_pvalue
0,Afghanistan,-1.8859024572768974,0.7306799229939751,-0.28722757155619183,-0.000793520065606021,0.0586296070959057,0.3158821410923679
1,Albania,0.5769284089853455,-0.04780481835883972,0.16678263871274357,0.0013422154319020782,0.762804043604143,2.4792659998586063e-05
2,Algeria,-0.23391949643716992,-0.046240628025597696,0.32630280791660715,4.435772333222047e-05,0.18061716431207275,0.139086599809067
3,Angola,3.612626504183093,-3.288117368909028,1.6127244724285354,0.004052745211444909,0.6025494546090688,0.0015743210855020656
4,Antigua and Barbuda,7.619944679123622,1.5874458182813231,18.68667061486125,-1.74513145980135,0.8679588725375972,0.24161336890693366
5,Argentina,-2.007411520668006,-5.416175616761682,-6.638177596466946,0.013628071729125824,0.09807038438292404,0.24743614847458792
6,Armenia,0.2772016769979039,-0.1127341083533744,0.13475903556854202,-0.0059428387078217,0.15868903372379795,0.16351993935198492
7,Australia,0.5538807896644966,-2.8016855391780213,-7.465540879200735,0.008365784419023846,-0.055173503501520615,0.5722429520473062
8,Austria,-2.5374381363882694,0.11746381864597119,-0.8095287540174871,-0.0035882320979296555,0.34991919144679595,0.031247744355842242
9,Azerbaijan,1.3005303846166745,0.14847134791432182,-0.05981934937316047,-0.0017136510842035906,0.6547923302088308,0.0003763567547501239
10,Bahamas,-2.101656040575815,0.02477969046869512,-4.855911347261625,-0.018847381093150907,-0.04141819126366442,0.5164788750465905
11,Bahrain,-0.11874430340971939,-0.031378365189902786,1.44122227524383,0.0012708393334524065,0.04758868945559391,0.3370483849060617
12,Bangladesh,-0.030829438469553216,0.15616174421975934,-1.6140708061931421,-6.160838305851629e-05,0.50595420773508,0.004780906180222405
13,Barbados,0.3029724542972017,0.04797468700080719,0.13586225116607514,-0.09512306421655636,0.603909403985718,0.0010062368025387754
14,Belarus,0.3406881126233059,0.07842747610367037,0.22537875554925768,0.002822964862624019,0.09624555074875019,0.2503565490328232
15,Belgium,-0.27973795791747036,-0.0343569921495302,-0.13959397807036686,0.0006698570943294821,0.5266887044602737,0.003542568069640793
16,Belize,-0.4067699954528078,0.7818065206728279,0.11224948175590388,-0.1025758483193912,0.3981561249292268,0.018602704249228677
