,year,price,value
0,1961,9.698709744,39654131.0
1,1962,9.170538492,38177418.0
2,1963,10.126192712,43032325.0
3,1964,10.290539863,52092045.0
4,1965,10.419171104,50197330.0
5,1966,11.592863401,56664404.0
6,1967,12.406595531999999,46867546.0
7,1968,10.792608422,47131675.0
8,1969,12.483125973,42595673.0
9,1970,10.891706302,50163224.0
10,1971,11.118053321,52089122.0
11,1972,11.846595652,59436617.0
12,1973,18.157747745,75291782.0
13,1974,28.294541532,59111634.0
14,1975,27.545629833,67460620.0
15,1976,25.856816176,62673827.0
16,1977,23.037508412,66751328.0
17,1978,23.978200523,75863428.0
18,1979,28.8048187,71838525.0
19,1980,33.972645134,90178178.0
20,1981,34.544873287,95522121.0
21,1982,31.770945353,95744155.0
22,1983,30.617508522,102884576.0
23,1984,33.154229264,106918606.0
24,1985,30.549974328,96075266.0
25,1986,25.201579394,87670009.0
26,1987,24.36470324,101228410.0
27,1988,27.105806837,110071029.0
28,1989,37.807841402,97844800.0
29,1990,30.420386896,98605655.0
30,1991,25.751376138,108373461.0
31,1992,33.52077982,114093083.0
32,1993,32.147454757,107609452.0
33,1994,29.428928046,103800460.0
34,1995,39.815443073,101674727.0
35,1996,43.615961709,98835683.0
36,1997,39.926345462,107027600.0
37,1998,34.379903697,109450773.0
38,1999,31.425859897,114491549.0
39,2000,32.694537343,117178964.0
40,2001,34.882489034,114175837.0
41,2002,30.047510767,121062081.0
42,2003,35.092898304,111812018.0
43,2004,37.241250409,119712586.0
44,2005,36.497868095,120724874.0
45,2006,41.537535808,127549624.0
46,2007,54.306770872,126974611.0
47,2008,79.344366367,131291725.0
48,2009,54.488802982,146975030.0
49,2010,56.427390555,145739883.0
50,2011,74.667298146,148387582.0
51,2012,64.551573668,164620651.0
52,2013,70.132354435,162800459.0
53,2014,76.00298661,174035695.0
54,2015,66.402853894,170875143.0
55,2016,49.789066147999996,190060196.0
56,2017,75.345914552,196614497.0
57,2018,185.283533818,190909790.0
58,2019,56.178461809,180179480.0
59,2020,54.465626914,198526629.0
