,prediction,actual,
0,0.028826649,0,2000
1,0.021716583,0.024691458,2001
2,0.043847402,0.041229912,2002
3,0.039856054,0.048644111,2003
4,0.050676149,0.065165118,2004
5,0.056074053,0.058477322,2005
6,0.043775124,0.041556961,2006
7,0.054321753,0.055329783,2007
8,0.04638812,0.074549357,2008
9,0.069574708,0.083551674,2009
10,0.064810598,0.049852517,2010
11,0.053779891,0.039580873,2011
12,0.050324041,0.067191632,2012
13,0.065684034,0.059990325,2013
14,0.052437857,0.048025421,2014
15,0.057275751,0.041755932,2015
16,0.051599574,0.042495134,2016
17,0.056014061,0.060162554,2017
18,0.05588416,0.053988449,2018
19,0.054288244,0.044536948,2019
20,0.041311529,0.057690853,2020
