,mex_cpi,year,movAvg,diffFromAvg,percentDiffFromAvg,domain_x,domainCode_x,areaCode_x,area_x,elementCode_x,element_x,itemCode_x,item_x,yearCode_x,unit_x_x,value_x,flag_x,flagDesc_x,area_code_x,unit_y_x,pop_x,movAvg_x,diffFromAvg_x,percentDiffFromAvg_x,domain_y,domainCode_y,areaCode_y,area_y,elementCode_y,element_y,itemCode_y,item_y,yearCode_y,unit_x_y,value_y,flag_y,flagDesc_y,area_code_y,unit_y_y,pop_y,movAvg_y,diffFromAvg_y,percentDiffFromAvg_y,prevYearExp,percentPrevYearExp,yearShift
0,44.30352583,2000,44.30352583,0.0,0.0,TCL,Crops and livestock products,484,Mexico,5610,Import Quantity,112,Maize (corn),2000,tonnes,5347619.0,,,484,1000 persons,97873.442,3077537.3,2270081.7,0.737629305094044,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2000,tonnes,47970790.0,*,,840,1000 persons,282398.554,46416125.45,1554664.549999997,0.03349406127563792,4799943.8500000015,0.10174718354115596,2001
1,46.54675167,2001,45.42513875,1.121612919999997,0.024691458317229617,TCL,Crops and livestock products,484,Mexico,5610,Import Quantity,112,Maize (corn),2001,tonnes,6174028.0,,,484,1000 persons,99394.288,3232970.75,2941057.25,0.9097073488833761,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2001,tonnes,47943762.0,*,,840,1000 persons,285470.493,46070515.95,1873246.049999997,0.0406604096214815,1554664.549999997,0.03349406127563792,2002
2,48.29358333,2002,46.38128694333333,1.912296386666668,0.04122991216270109,TCL,Crops and livestock products,484,Mexico,5610,Import Quantity,112,Maize (corn),2002,tonnes,5512911.0,,,484,1000 persons,100917.081,3490089.25,2022821.75,0.5795902640598661,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2002,tonnes,47685821.0,,,840,1000 persons,288350.252,46007685.4,1678135.6000000015,0.036475114655518004,1873246.049999997,0.0406604096214815,2003
3,50.96648917,2003,48.60227472333333,2.364214446666672,0.04864411100354616,TCL,Crops and livestock products,484,Mexico,5610,Import Quantity,112,Maize (corn),2003,tonnes,5764149.0,,,484,1000 persons,102429.341,3543753.45,2220395.55,0.626566035512431,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2003,tonnes,43411753.0,,,840,1000 persons,291109.82,45796815.45,-2385062.450000003,-0.05207922049959923,1678135.6000000015,0.036475114655518004,2004
4,54.64464583,2004,51.30157277666667,3.3430730533333346,0.06516511819017475,TCL,Crops and livestock products,484,Mexico,5610,Import Quantity,112,Maize (corn),2004,tonnes,5518690.0,,,484,1000 persons,103945.813,3694797.2,1823892.7999999998,0.4936381352676135,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2004,tonnes,48741188.0,,,840,1000 persons,293947.885,45779614.85,2961573.1499999985,0.06469196299933481,-2385062.450000003,-0.05207922049959923,2005
5,57.57696917,2005,54.39603472333334,3.1809344466666616,0.05847732215859827,TCL,Crops and livestock products,484,Mexico,5610,Import Quantity,112,Maize (corn),2005,tonnes,5743678.0,,,484,1000 persons,105442.402,3895694.25,1847983.75,0.4743657051628217,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2005,tonnes,45369241.0,,,840,1000 persons,296842.67,45847259.3,-478018.299999997,-0.010426322255646742,2961573.1499999985,0.06469196299933481,2006
6,59.68271833,2006,57.30144444333333,2.381273886666669,0.0415569609073566,TCL,Crops and livestock products,484,Mexico,5610,Import Quantity,112,Maize (corn),2006,tonnes,7609940.0,,,484,1000 persons,106886.79,4191012.15,3418927.85,0.8157761723501565,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2006,tonnes,57884062.0,,,840,1000 persons,299753.098,47387185.6,10496876.399999999,0.22151297375212758,-478018.299999997,-0.010426322255646742,2007
7,63.634255,2007,60.297980833333334,3.3362741666666693,0.055329782532657266,TCL,Crops and livestock products,484,Mexico,5610,Import Quantity,112,Maize (corn),2007,tonnes,7954729.0,,,484,1000 persons,108302.973,4408603.75,3546125.25,0.8043647039042691,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2007,tonnes,57014420.0,,,840,1000 persons,302743.399,48192629.0,8821791.0,0.18305270293513143,10496876.399999999,0.22151297375212758,2008
8,68.82034333,2008,64.04577222,4.774571109999997,0.07454935656953496,TCL,Crops and livestock products,484,Mexico,5610,Import Quantity,112,Maize (corn),2008,tonnes,9145987.0,,,484,1000 persons,109684.489,4700811.65,4445175.35,0.9456186890619196,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2008,tonnes,54094397.0,,,840,1000 persons,305694.91,48568945.65,5525451.3500000015,0.11376510805521267,8821791.0,0.18305270293513143,2009
9,74.8892625,2009,69.11462027666666,5.774642223333345,0.08355167401943876,TCL,Crops and livestock products,484,Mexico,5610,Import Quantity,112,Maize (corn),2009,tonnes,7260619.0,,,484,1000 persons,111049.428,4881381.65,2379237.3499999996,0.4874106391578703,TCL,Crops and livestock products,840,United States of America,5910,Export Quantity,112,Maize (corn),2009,tonnes,47813400.0,,,840,1000 persons,308512.035,48133949.25,-320549.25,-0.0066595252414282215,5525451.3500000015,0.11376510805521267,2010
