,year,wheat_exp_total,movAvg,diffFromAvg,percentDiffFromAvg
0,1961,39654131,39654131.0,0.0,0.0
1,1962,38177418,38915774.5,-738356.5,-0.01897319299144361
2,1963,43032325,40287958.0,2744367.0,0.06811879122788998
3,1964,52092045,43238979.75,8853065.25,0.2047473206164167
4,1965,50197330,44630649.8,5566680.200000003,0.12472774259271491
5,1966,56664404,46636275.5,10028128.5,0.21502850286575736
6,1967,46867546,46669314.14285714,198231.8571428582,0.004247584537798443
7,1968,47131675,46727109.25,404565.75,0.00865805217770881
8,1969,42595673,46268060.777777776,-3672387.777777776,-0.07937198395705398
9,1970,50163224,46657577.1,3505646.8999999985,0.07513563965154972
10,1971,52089122,47151353.90909091,4937768.090909094,0.10472166081231188
11,1972,59436617,48175125.833333336,11261491.166666664,0.23376153091175972
12,1973,75291782,50261022.461538464,25030759.538461536,0.4980153270382824
13,1974,59111634,50893209.0,8218425.0,0.16148372565777883
14,1975,67460620,51997703.06666667,15462916.93333333,0.2973769228519229
15,1976,62673827,52664960.8125,10008866.1875,0.1900479186367191
16,1977,66751328,53493570.64705882,13257757.352941178,0.2478383325804428
17,1978,75863428,54736340.5,21127087.5,0.3859791741101143
18,1979,71838525,55636455.473684214,16202069.526315786,0.29121318725955303
19,1980,90178178,57363541.6,32814636.4,0.5720469044400842
20,1981,95522121,60156941.1,35365179.9,0.5878819509990011
21,1982,95744155,63035277.95,32708877.049999997,0.518897958631116
22,1983,102884576,66027890.5,36856685.5,0.5581987433022716
23,1984,106918606,68769218.55,38149387.45,0.5547451062318347
24,1985,96075266,71063115.35,25012150.650000006,0.35197092791119816
25,1986,87670009,72613395.6,15056613.400000006,0.20735310992673103
26,1987,101228410,75331438.8,25896971.200000003,0.34377374987825143
27,1988,110071029,78478406.5,31592622.5,0.40256452582278157
28,1989,97844800,81240862.85,16603937.150000006,0.2043791334498364
29,1990,98605655,83662984.4,14942670.599999994,0.17860551720887444
30,1991,108373461,86477201.35,21896259.650000006,0.25320268588918676
31,1992,114093083,89210024.65,24883058.349999994,0.2789267063609089
32,1993,107609452,90825908.15,16783543.849999994,0.18478806534234465
33,1994,103800460,93060349.45,10740110.549999997,0.11541016784780617
34,1995,101674727,94771054.8,6903672.200000003,0.07284578835351323
35,1996,98835683,96579147.6,2256535.400000006,0.023364623276091186
36,1997,107027600,98592961.2,8434638.799999997,0.08555011125885523
37,1998,109450773,100272328.45,9178444.549999997,0.09153516919253306
38,1999,114491549,102404979.65,12086569.349999994,0.11802716421905947
39,2000,117178964,103755018.95,13423945.049999997,0.1293811633003417
40,2001,114175837,104687704.75,9488132.25,0.090632727813244
41,2002,121062081,105953601.05,15108479.950000003,0.14259524735615395
42,2003,111812018,106399973.15,5412044.849999994,0.05086509601247953
43,2004,119712586,107039672.15,12672913.849999994,0.11839455031439942
44,2005,120724874,108272152.55,12452721.450000003,0.11501315118168862
45,2006,127549624,110266133.3,17283490.700000003,0.15674341869753405
46,2007,126974611,111553443.35,15421167.650000006,0.13824017607072822
47,2008,131291725,112614478.15,18677246.849999994,0.16585120454158933
48,2009,146975030,115070989.65,31904040.349999994,0.27725528777530584
49,2010,145739883,117427701.05,28312181.950000003,0.24110309319557274
50,2011,148387582,119428407.1,28959174.900000006,0.24248146318950617
51,2012,164620651,121954785.5,42665865.5,0.349849867105051
52,2013,162800459,124714335.85,38086123.150000006,0.30538688989057394
53,2014,174035695,128226097.6,45809597.400000006,0.3572564264016096
54,2015,170875143,131686118.4,39189024.599999994,0.2975941965345376
55,2016,190060196,136247344.05,53812851.94999999,0.3949644106842315
56,2017,196614497,140726688.9,55887808.099999994,0.39713723485467434
57,2018,190909790,144799639.75,46110150.25,0.3184410564115371
58,2019,180179480,148084036.3,32095443.699999988,0.21673803943983924
59,2020,198526629,152151419.55,46375209.44999999,0.3047964296827356
