,area,percentDiffFromAvg_y,year,percentPrevYearExp,pop,adj_r2,f_pvalue
0,Afghanistan,22.511119011029223,6.049829982097373,-20.625661813211977,-0.005426133547578481,0.39443927460027695,0.5009433318548469
1,Albania,-1.7126209377149761,0.0687350671163938,5.366721766242753,0.004376738060380855,-0.012556192762125384,0.47420636659654447
2,Algeria,-4.874174945361435,-2.234121867761661,13.383129046399302,0.00394994458443357,0.36665034899626925,0.00959792372702329
3,Angola,-1.2791632268426207,-0.1610903966946502,0.018341680360322785,0.0002795113408833552,0.17495732842914313,0.12370766387444075
4,Antigua and Barbuda,0.0006331789082832702,0.00579383214943498,0.001619864920846073,-0.14368220148143224,,
5,Argentina,5.8107455213051455,-1.6120649688410065,1.1577358286220543,0.003843630306078593,0.053819507040819725,0.15006978006560626
6,Armenia,-1.4648603393047706,0.05027752552774359,0.110549612104487,0.003069238462882302,0.0673652077008321,0.2997560935306176
7,Australia,-4.647477385679346,-0.06765000859163506,3.411759193616805,0.00012633095167243003,0.17298148249353562,0.006207979979578149
8,Austria,-1.020663430095013,0.20338003329389798,-0.058695622409725146,-0.0066905679637036565,0.4986232744780156,1.7944369408122375e-08
9,Azerbaijan,3.2177157468744366,0.1984852975356415,-0.4774450913903216,-0.0012770853899923317,0.07299604259543668,0.30901474895346975
10,Bahamas,-1.8981702961717832,0.8376447309215873,8.711361610064412,-0.19241862911873972,-0.29191584435655504,0.7799287473344655
11,Bahrain,-0.2607769973385875,-0.045308669403492215,-0.4540028277261924,0.0008083585528704841,-0.12868894333178194,0.8639509190773165
12,Bangladesh,0.1576565026830971,0.31821858280741283,0.6326808619450897,-0.00012039502380552376,0.4450301151730909,0.008224844478067416
13,Barbados,-0.20730907991783745,0.01339890397035605,-0.3236738584128081,-0.03841798995383201,0.30981152789759103,0.010843526885733812
14,Belarus,-1.2971885096372324,0.9333204429441405,5.1320169277106835,0.01610389884237917,0.6212444129883177,0.00019005278388155167
15,Belgium,0.8824418270512291,0.11505550244054306,0.4521151098948882,-0.002069844602132408,0.21244735172716867,0.0983138937507137
16,Belgium-Luxembourg,-0.6737619977336632,-0.13281838135719273,1.0126235985888772,0.004918332092592461,0.4223677632160959,0.00015907996104611293
17,Belize,2.6567627628972783,-0.24411964979973153,-3.5845695346707274,0.03558849424763597,-0.07161834584469196,0.624867605209587
18,Benin,5.806710914518918,-0.8800299039393179,4.256017614476186,0.003014898310200491,0.4911679722361274,0.11867812713509054
19,Bhutan,2.1935283101523932,-0.024417277540184527,-0.7843617620064988,0.0007192542732451769,-0.299356499970862,0.9874782948468053
20,Bolivia (Plurinational State of),10.541480104233058,2.9997094801772746,0.11551751629369265,-0.01984186041996721,0.3403638105088287,0.001231290770392322
21,Bosnia and Herzegovina,0.8881778527678656,-0.1344307632085883,0.31236109324428724,-0.0015282638488136634,-0.019608496887960847,0.4824864570384325
22,Botswana,-1.1840995985047456,0.6006410352323354,-0.8540993095904992,-0.015386734667920525,-0.05616739380912783,0.6473624273537797
23,Brazil,3.1920722712299754,-0.17378411942981392,3.6934272674752773,4.4887708944360295e-05,0.28697329762810597,0.00040198673831362346
24,Brunei Darussalam,-1.3864533785088522,0.5477381900844192,1.488355643935321,-0.08691456700495254,0.19069045283399033,0.0036741144492290017
25,Bulgaria,-0.5058019217604854,-0.01355020391408531,-1.5870524573457567,-0.0005251944462732826,-0.07510552966784068,0.9387785482705766
26,Burkina Faso,-11.265936940886673,1.4787462301788008,-4.6734675154631855,-0.0030780797602340147,0.063911628976426,0.3550646106887667
27,Burundi,-4.002891248151418,1.4957811174911024,-12.528647046237783,-0.005273284487520288,0.2647118979855121,0.2005798163069684
28,Cabo Verde,1.334789870804003,-0.900028611229596,1.560004391871165,0.13220835178150517,0.0034528310975824317,0.45077476479569867
29,Cambodia,5.568944520219861,5.501643706490844,-0.5726843848478196,-0.024771319367508003,0.18193199456904297,0.09068704502482322
30,Cameroon,1.5733530930307686,-0.3134377981100692,0.6822787732173723,0.0005104081387683832,0.18338131503235588,0.09722804117985694
31,Canada,1.3779213657564742,0.2755617704522383,0.7273677859287797,-0.0008426982249755057,0.24085646873604083,0.0007603702891801392
32,Chad,-18.0162963883877,-0.00023810745957014836,5.223919394408502,0.00037848686948708463,,
33,Chile,5.37701816866253,-1.9327831736452352,-5.182669855511301,0.01041111660213171,0.1487950938464795,0.04020108599488447
34,China,2.9423419358626632,-0.06767152088610559,0.21647296053067136,6.820507501611689e-06,0.6127312397025597,1.9953942163645694e-11
35,"China, Hong Kong SAR",-0.056359494386289816,-0.06092776594514647,-0.13219309154510592,0.000779773700736289,0.3856885898859559,3.5275239378998946e-06
36,"China, Macao SAR",1.1434118169330252,0.4135185669268612,-3.612596329442085,-0.03868333847148692,0.14799452273469438,0.07473950874539768
37,"China, Taiwan Province of",0.337794053986438,-0.06132176641345118,0.15600199426901068,0.0002306053544598126,0.5555869686115704,7.557203053146722e-10
38,"China, mainland",9.786687641207495,-0.8164289229945995,4.126736093982837,7.4950561066151e-05,0.7403811261014452,6.577759734311987e-13
39,Colombia,-1.1687519753350306,-0.19236824720568682,0.17983601485873094,0.00031079537778458876,-0.03737638220853379,0.6747615939513862
40,Congo,-2.2715022993748293,0.04462676437138704,-0.5140707778748702,-0.0003614764354870587,-0.11782801346458949,0.6515472804367347
41,Cook Islands,0.5218881849819268,0.015806775048107555,-0.4695659665856276,-1.8157736864870917,,
42,Costa Rica,-0.9010715044882307,0.47742601014190333,-2.9779252287263955,-0.007546958357444519,0.09869461512973554,0.0663558561522248
43,Croatia,2.1444996531168976,-0.07949139591652074,1.692948508743915,-1.3084026138869721e-06,0.5326530174569826,0.00013987977522814598
44,Cuba,0.9129087945462855,0.010597852075989017,0.8614835852434478,0.00021887332362624436,0.07683065599081229,0.08584682949605278
45,Cyprus,2.5268794713244978,0.46566020201739555,-3.1651296582797217,-0.034610511839625366,0.46129609986529074,0.0002987155387834922
46,Czechia,1.162104371415796,0.0036645150559763166,0.13495861230815343,-0.0002679252786804912,-0.09280193676514692,0.7877319040861255
47,Czechoslovakia,-0.081263512492299,-0.0919846082065656,-0.4478482152826365,0.001343413458390901,-0.019254897489841216,0.5018021119151077
48,Côte d'Ivoire,4.946116901652512,-0.6297611965526696,-5.61485681494583,0.0014882802869990344,-0.005321500263926193,0.46356115272212317
49,Democratic People's Republic of Korea,-3.131761493097091,-0.05323226522396652,1.0031526509125237,0.0001640252608426899,0.3444792959547661,0.0004269449954720172
50,Democratic Republic of the Congo,2.0794340014606547,1.1326635776968954,7.706628046278604,-0.00043891464805593475,-0.0588048342497669,0.5441515719250285
51,Denmark,1.5807494052446134,0.07308257406847514,1.358784611124166,-0.0048672058365852346,0.6333948730956086,4.669079379756949e-12
52,Dominica,0.9007587295561692,0.024945176099108565,-4.76987577662665,0.024380451757128163,0.28386606385888014,0.3467984984116258
53,Dominican Republic,-0.25004661662026195,2.864263317038908,-0.571343498085955,-0.021525706051890026,0.4003910628169526,2.0868460456506434e-05
54,Ecuador,-1.697083529631328,0.42569412066261203,1.7380683678050755,-0.0021285719777668346,0.30688336401939764,0.0018763463746786552
55,Egypt,3.6814085756189603,0.4636773621434061,-1.6513651621378078,-0.00027513315589102117,0.5667977992148209,2.3443553164442567e-07
56,El Salvador,1.4000579906863022,-0.12963071071601467,-1.4837753869122101,0.0022710232487285036,0.1383518526375075,0.037877300719461424
57,Equatorial Guinea,3.7046266385874413,-0.00031146411429214304,2.156989015634958,-0.001003764429755736,,
58,Estonia,-5.7286153092638274,-0.07870383492701288,-7.260512114586708,-0.030387927377655055,0.1615977315235917,0.08933454100984857
59,Eswatini,0.6467052380794112,-0.2621340171767692,-0.8052651974314893,0.02638889099049222,0.7935297055880092,4.4801024045474586e-07
60,Ethiopia,-0.536083759871584,0.18966223694147022,-0.04655625845237278,-0.00011465947158004826,0.11100045576218798,0.26352751909436123
61,Faroe Islands,4.732447541019602,-0.17189741779593798,3.445342117292537,0.42000161667755176,-0.007612857549340379,0.47096808550828473
62,Fiji,-9.573587754012618,0.243904760520186,7.93404749566675,-0.02651067340162063,0.04395403087470551,0.29036712697257017
63,Finland,-0.7686674403304854,0.044905024267323235,0.19417502540441714,-0.003715681718014787,0.5570089496548384,6.945493763845173e-10
64,France,1.7872821779647876,-0.10683277720104582,0.48086030583729134,0.0003181299526261545,0.548807820562283,1.12579617782969e-09
65,French Polynesia,-0.38476835271201965,-0.09092802879464514,0.10423457984859374,0.018539232343985294,0.3875858741227707,1.6316022817312666e-05
66,Gabon,2.5345680719977817,0.26661999039333917,-2.848902935360168,-0.005463132779619626,0.1953465051089064,0.09467545902214548
67,Gambia,3.6297433497526436e-06,-0.0027092867353975744,2.8467883532480837e-06,0.002644855750018633,,
68,Georgia,9.227721009635092,0.11668180150559805,-6.814811468569804,-0.0006406872606702121,-0.052090250307103014,0.5708513601085845
69,Germany,0.666342681459853,-0.01070903986883672,0.5336822592251665,1.9805841069325582e-05,0.6524095882778969,1.1366166668535042e-12
70,Ghana,-8.582905592525847,-3.869479337474696,18.329386077073572,0.006106672991578861,-0.08217292728093861,0.6196913246458889
71,Greece,-2.6670898548390602,-0.026908796647642185,3.2329222937414697,-0.0002461057945797946,0.0944279278500908,0.06420668147432423
72,Grenada,-0.02889711986585651,-0.6439444886084744,-0.3372419649276726,0.9352561264238,,
73,Guatemala,10.601936542916414,0.1995410012058597,-0.5047395863875774,-0.0009607541213579301,0.39155997845337487,1.4108584851248088e-05
74,Guinea,-3.4458046224480885,-0.33029123570309027,1.530302810044823,0.0008027760958033633,,
75,Guyana,1.4238697720233384,0.010281466932495396,-0.9438589411584375,0.0036974996995809547,-0.1442080153554548,0.9459143529088986
76,Haiti,-8.569030335061592,0.018491608239282864,-9.296571818838697,-0.0029079680901269098,,
77,Honduras,-7.061023049462379,0.05611312876575101,1.1628276596080513,-0.0005408319795043999,0.14039520928440896,0.02631638247682889
78,Hungary,0.8905967292104027,0.020307828707190705,-0.004958871392504081,-0.002108199430824213,0.23704281426112017,0.0011007573235641205
79,Iceland,-6.484239871505293,0.2839956199748142,5.790580728403745,-0.10631240126607211,0.09997412865437849,0.07686470966447545
80,India,-7.284547496710749,0.08163392388560303,1.9390748094831782,-1.1955072860356738e-06,0.00041953622078416686,0.42306350074861415
81,Indonesia,-0.5905325799856483,0.2285720357944152,-0.28003493357843856,-8.050501832247241e-05,0.08129451243369379,0.09531434932035766
82,Iran (Islamic Republic of),-4.811669430167937,-0.6590589079899147,-0.5183981879457068,0.0005420158006766911,0.22315293964001137,0.02210325102295871
83,Iraq,6.000202221911317,0.22314383881126712,2.588816717345788,-0.0003454037385356312,0.3108226540114941,0.009054261117643639
84,Ireland,-4.73201078412698,0.08183620672291061,1.5274792292849189,-0.0026382469948859734,0.21915148149970531,0.002977631452581036
85,Israel,0.18160195823657344,0.054153364912808956,0.5921658461309461,-0.0005587612502234303,0.5820449692455214,1.4977861965634386e-10
86,Italy,0.514333512371104,-0.018400024130695233,0.9883666122477177,7.381517567135586e-05,0.5322008744808554,2.912587485130592e-09
87,Jamaica,1.4145717443738488,-0.051174149491306775,1.9156658987452935,-0.0006894990563777185,0.3139618503418886,5.957525381051923e-05
88,Japan,0.3201809000544513,-0.023655334991731603,0.23707228260157898,2.0730153878382777e-05,0.82551626774701,1.1551163951163716e-20
89,Jordan,-3.3694427134479534,-0.04460830388961068,-7.242747821801818,0.0009992431406963438,0.0544831187292133,0.30859177602844706
90,Kazakhstan,2.640992738768419,0.25032179567269186,-8.877830107718543,-0.0014815210357136412,-0.06931472204285982,0.6488735837867797
91,Kenya,3.873148145511605,0.0623439981639977,-5.119454156257645,-5.954819264961008e-05,0.060291032363492425,0.14468297383144585
92,Kiribati,0.0,0.0,0.0,0.0,,
93,Kuwait,-0.5876265192876167,-0.10688863212225341,-0.3914552372756779,0.001207063814997115,0.4226335718754244,1.2237167965872505e-05
94,Kyrgyzstan,-4.002598857831126,0.16446997062628807,-2.894241341503125,-0.0024483351626050608,0.3012316039629167,0.050381699600187124
95,Lao People's Democratic Republic,13.613614839244635,6.572656585027289,-25.553760477325422,-0.057890574339272007,0.43596727587527384,0.340673714540533
96,Latvia,-8.969472120337182,-2.5869588343322496,-3.506364899158949,-0.09482670542783199,0.3273592592080159,0.008204286049532473
97,Lebanon,0.8753742435443762,-0.09362850376705556,4.713424759421945,0.0015722490523090611,0.25713999363801965,0.003332665246302185
