,percPred,percActual,year,absPred,absActual
34,,,1961,,0
203,2.184600787,0.257142857,1962,-436990.8205,450
372,2.05127257,0.882978723,1963,-280882.03,2766.66667
541,2.044995361,0.911111111,1964,-116528.2263,4100
710,2.11738319,2.788694482,1965,68912.02455,41440
879,1.991958514,1.795433961,1966,245279.5859,41628.3333
1048,1.779450732,2.429181181,1967,362972.8868,94637.4286
1217,1.898293172,3.556604965,1968,469064.4847,281676
1386,1.744807561,2.420400339,1969,559878.3823,274845.333
1555,1.740478842,2.70593155,1970,649643.8874,439368.6
1724,1.597386897,1.799208065,1971,724550.5403,356236
1893,2.082984523,3.528074748,1972,864759.1141,1028381.75
2062,2.299409547,2.440504719,1973,1029576.974,892981.615
2231,1.836196753,1.644175631,1974,1087832.663,688709
2400,1.952383294,1.87158752,1975,1159788.725,904944.133
2569,2.196873444,2.267295504,1976,1301222.15,1291487.94
2738,1.783591172,2.054016354,1977,1353889.745,1342322.76
2907,2.05483166,1.940557829,1978,1468212.139,1431593.39
3076,2.084300093,2.1125936,1979,1610171.352,1765747.32
3245,1.959851323,1.818392592,1980,1707796.326,1680699.45
3414,1.535671373,1.475803351,1981,1691543.084,1556654.5
3583,1.374964264,1.155852525,1982,1657045.225,1366328.3
3752,1.311341979,1.553307472,1983,1658157.142,2104352.85
3921,1.273193384,0.970366701,1984,1684393.56,1457814.45
4090,1.080868925,0.828261503,1985,1663505.618,1366950.65
4259,0.706451663,0.70538437,1986,1533589.65,1270177.1
4428,1.062281915,0.872863721,1987,1587431.907,1727713.15
4597,1.007144953,1.041326816,1988,1642952.793,2274525.7
4766,1.078785674,0.827985942,1989,1686829.244,1972764.15
4935,0.861514961,0.945797689,1990,1625971.057,2464807.7
5104,0.694293324,0.918213134,1991,1507673.654,2618630
5277,0.668378369,0.75372195,1992,1430713.613,2301599.15
5464,0.58517666,0.674632249,1993,1358935.927,2202000.2
5653,0.481096351,0.605443734,1994,1268571.252,2112189.85
5842,0.850694634,0.741199377,1995,1379265.143,2776019.55
6031,0.541553649,0.515177764,1996,1323716.077,2035788.2
6220,0.37163856,0.397265249,1997,1163637.016,1645133
6409,0.40040815,0.117631995,1998,1080201.765,502449.8
6598,0.523418428,0.100570918,1999,1094181.435,440747.2
6787,0.370909271,0.098348042,2000,1027176.104,442496.6
6977,0.35299146,0.123096199,2001,952063.4115,569768.1
7167,0.306135069,0.06336251,2002,881016.0803,301224.1
7357,0.196521245,0.049709169,2003,769676.8643,240332.9
7547,0.270200353,-0.01410666,2004,707375.2331,-69542.8
7737,0.139372053,-0.009501274,2005,591039.0183,-47771.7
7927,0.300040174,-0.009821796,2006,548483.6773,-50368.9
8118,0.167619938,-0.13029733,2007,439903.8791,-673329.65
8309,0.083307776,-0.188665157,2008,276690.4144,-972337.25
8500,-0.032618873,-0.110958943,2009,81895.13674,-573172.45
8691,0.010709585,-0.029995669,2010,-57214.11764,-154851.55
8882,-0.129883733,-0.186000589,2011,-217960.8481,-947925.95
9073,-0.369632636,-0.135654989,2012,-441462.2152,-684610.35
9265,-0.447363836,-0.183581926,2013,-629351.8554,-913604.55
9457,-0.034531464,-0.141658356,2014,-565119.1909,-695132.5
9653,-0.287675405,-0.121173579,2015,-638915.6198,-580613.85
9846,-0.117916734,-0.102071919,2016,-679405.9951,-480083.25
10040,-0.281856338,-0.040924888,2017,-798828.111,-189744.2
10234,-0.054060479,-0.092854882,2018,-820359.0225,-427750.45
10428,-0.628474677,0.043518371,2019,-1127135.979,200437.25
10622,-0.352327008,-0.034066139,2020,-1268971.113,-156019.95
