Year,Total Imports From World (Wheat),Wheat Imports Index,Average Local Prices,Price Index,Maize Imports,Maize Index,Average Local Maize Price,Price Index,Soy Imports,Soy Index,Avg Local Soy Price ,Soy Price Index
2014,5393453,100,222.6441667,100,262553,100,,,105280,100,,
2015,5056305,93.74893969,244.42025,109.7806665,96149,36.62079656,,,151756,144.1451368,,
2016,4540279,84.18130278,244.3940556,109.7689013,256970,97.87357219,240.5649093,100,2763,2.624430091,,
2017,6160626,114.2241529,255.7047639,114.8490741,740293,281.959452,297.8910263,123.8297918,200972,190.8928571,,
2018,5559778,103.0838315,271.6173485,121.9961666,139520,53.13974702,260.2631579,108.18833,109444,103.9551672,,
2019,5812002,107.7603161,265.8747,119.4168722,47780,18.19823045,179.333577,74.5468562,26294,24.97530395,,
2020,7386563,136.954248,246.8378636,110.8665308,333741,127.1137637,199.0154971,82.72839861,85056,80.79027356,,
2021,,,209.9568333,94.30151999,,,309.8228896,128.7897268,,,,
2022,,,222.0821429,99.74756859,,,356.3529412,148.1317214,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
