Month Year,Date,Close/Last,Volume,Open,High,Low,Average,Avg Index
,10/5/12,857.5,39674,870,872.75,856.25,864.5,100
,10/8/12,860.75,308,859.75,862.25,859.75,861,99.5951417
,10/9/12,864.75,228,864.5,866,863.75,864.875,100.0433777
,10/10/12,870.25,284,870,871.25,869.25,870.25,100.6651243
,10/11/12,883,579,886.25,886.5,881.5,884,102.2556391
,10/12/12,856.75,63697,886.25,886.5,853.25,869.875,100.6217467
,10/15/12,852.25,491,848.5,854,848.25,851.125,98.45286293
,10/16/12,849,195,847.75,849.75,847,848.375,98.13475998
,10/17/12,856.5,143,856.5,857.25,855.75,856.5,99.0746096
,10/18/12,868.5,172,868,869.25,866.75,868,100.4048583
,10/19/12,872.5,53082,868,885.5,866,875.75,101.3013302
,10/22/12,876.75,221,878,878.5,875.25,876.875,101.4314633
,10/23/12,867,262,868.25,869,865,867,100.2891845
,10/24/12,876.75,787,882.5,883.25,876.5,879.875,101.7784847
,10/25/12,875.75,522,874.75,878.75,873.5,876.125,101.3447079
,10/26/12,863.75,48289,874.75,878.75,863.25,871,100.7518797
,10/29/12,858.5,764,858.25,861,858,859.5,99.421631
,10/30/12,858.5,N/A,858.5,858.5,858.5,858.5,99.3059572
,10/31/12,867.5,1187,865.75,867.5,865.5,866.5,100.2313476
,11/1/12,864,938,867.25,867.5,864,865.75,100.1445922
,11/2/12,864.5,47513,867.25,873.75,858.75,866.25,100.2024291
,11/5/12,872,1045,867,873,867,870,100.6362059
,11/6/12,876.25,328,876.5,878,875.5,876.75,101.417004
,11/7/12,889.25,6497,894,894,888.5,891.25,103.0942741
,11/8/12,900.5,1007,898.75,902.25,898,900.125,104.1208791
,11/9/12,886.5,115197,898.75,916.5,884,900.25,104.1353383
,11/12/12,873.5,308,872.5,875.25,871.75,873.5,101.0410642
,11/13/12,869,162,867,870.25,867,868.625,100.4771544
,11/14/12,862.5,404,864.25,864.75,861.5,863.125,99.84094853
,11/15/12,861.75,619,860.25,862.5,860.25,861.375,99.63851938
,11/16/12,853.75,62330,860.25,865.5,845,855.25,98.93001735
,11/19/12,859,613,859.25,860.25,858.75,859.5,99.421631
,11/20/12,859.25,97,860.5,861.5,859.25,860.375,99.52284558
,11/21/12,859.75,44396,859.75,865,856.5,860.75,99.56622325
,11/22/12,859.75,N/A,859.75,859.75,859.75,859.75,99.45054945
,11/23/12,861.5,19528,862,867.5,859.25,863.375,99.86986698
,11/26/12,864.5,812,864.5,865.75,863.75,864.75,100.0289184
,11/27/12,886.25,932,887,888.75,884.5,886.625,102.5592828
,11/28/12,887,1453,890.5,891,886.75,888.875,102.8195489
,11/29/12,885.25,1856,886,887,885,886,102.4869867
,11/30/12,863.5,88619,866,887,862.5,874.75,101.1856564
,12/3/12,861.5,439,861.5,862,859.75,860.875,99.58068248
